PCS_ESE;label;Effectifs en EQTP;Salaire moyen en EQTP;Année
554J;Pompistes et gérants de station-service (salariés ou mandataires);10750;1800;2023
555A;Vendeurs par correspondance, télévendeurs;31620;2000;2023
556A;Vendeurs en gros de biens d'équipement, biens intermédiaires;57150;2300;2023
561B;Serveurs, commis de restaurant, garçons qualifiés;143110;1900;2023
561C;Serveurs, commis de restaurant, garçons non qualifiés;161180;1700;2023
561D;Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration;258640;1700;2023
561E;Employés de l'hôtellerie : réception et hall;46380;1900;2023
561F;Employés d'étage et employés polyvalents de l'hôtellerie;65210;1800;2023
562A;Manucures, esthéticiens ;31360;1700;2023
562B;Coiffeurs salariés;59610;1700;2023
563A;Assistantes maternelles, gardiennes d'enfants, familles d'accueil;23060;1800;2023
563B;Aides à domicile, aides ménagères, travailleuses familiales;184370;1600;2023
563C;Employés de maison et personnels de ménage chez des particuliers;12990;1600;2023
564A;Concierges, gardiens d'immeubles;48910;2000;2023
564B;Employés des services divers;85030;2000;2023
621A;Chefs d'équipe du gros oeuvre et des travaux publics;37720;2600;2023
621B;Ouvriers qualifiés du travail du béton;38140;2200;2023
621C;Conducteurs qualifiés d'engins de chantiers du bâtiment et des travaux publics;53430;2300;2023
621D;Ouvriers des travaux publics en installations électriques et de télécommunications;18060;2100;2023
621E;Autres ouvriers qualifiés des travaux publics;41190;2300;2023
621G;Mineurs de fond qualifiés et autres ouvriers qualifiés des industries d'extraction (carrières, pétrole, gaz...);8120;2400;2023
622A;Opérateurs qualifiés sur machines automatiques en production électrique ou électronique;23530;2100;2023
622C;Monteurs câbleurs qualifiés en électricité;32580;2300;2023
622D;Câbleurs qualifiés en électronique (prototype, unité, petite série);3470;2100;2023
622E;Autres monteurs câbleurs en électronique;6240;2000;2023
622F;Bobiniers qualifiés;2130;2100;2023
622G;Plateformistes, contrôleurs qualifiés de matériel électrique ou électronique;1820;2300;2023
623A;Chaudronniers-tôliers industriels, opérateurs qualifiés du travail en forge, conducteurs qualifiés d'équipement de formage, traceurs qualifiés;31280;2300;2023
623B;Tuyauteurs industriels qualifiés;8280;2400;2023
623D;Opérateurs qualifiés sur machine de soudage;4890;2200;2023
623E;Soudeurs manuels;34710;2200;2023
623F;Opérateurs qualifiés d'usinage des métaux travaillant à l'unité ou en petite série, moulistes qualifiés;26890;2400;2023
623G;Opérateurs qualifiés d'usinage des métaux sur autres machines (sauf moulistes);30230;2400;2023
624B;Monteurs, metteurs au point très qualifiés d'ensembles mécaniques travaillant à l'unité ou en petite série;18400;2400;2023
